PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP
CHRISTOPHER RODRIGUEZ,3.3,0.2,0.0,1.1,4.6,0.2,22.5,0.2,35.9,85.6,71.0,81.0,6.2,8.0,102.0,3.4,37.9,84.4,70,82,6.0,8,105,2.0,0.0,12.0,51.0,2.0,247.0,WAS,2.0,16,9,28,0,90,10,0,90,10,3,500.0,500
CHUBA HUBBARD,8.4,2.3,0.0,13.7,14.0,0.3,53.1,2.6,143.5,44.0,31.0,43.0,5.2,6.0,56.0,10.7,182.5,44.1,33,44,4.9,6,55,39.0,0.0,233.0,238.0,5.0,902.0,CAR,44.0,32,31,27,6,19,38,6,19,50,2,144.0,187
CJ HAM,0.2,0.4,0.0,1.5,0.1,0.0,0.4,0.5,3.2,151.3,146.0,159.0,5.0,11.0,159.0,0.6,10.2,134.8,127,145,9.0,10,149,7.0,0.0,25.0,1.0,0.0,7.0,MIN,9.0,26,16,30,0,100,0,0,100,0,0,500.0,500
CLYDE EDWARDS-HELAIRE,3.5,1.1,0.1,12.5,4.7,0.1,14.9,1.5,53.1,65.8,50.0,63.0,5.8,7.0,81.0,4.7,70.1,64.1,48,61,6.3,7,79,17.0,1.0,188.0,70.0,1.0,223.0,KC,22.0,3,6,11,0,71,14,0,71,14,2,191.5,199
CODY SCHRADER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.4,90.0,119.0,9.6,10.0,116.0,0.0,0.0,106.8,83,118,14.0,10,123,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,10,12,5,0,0,0,0,0,0,0,500.0,500
CORDARRELLE PATTERSON,2.0,0.6,0.1,2.7,3.6,0.0,12.9,0.9,27.9,86.7,58.0,87.0,8.5,8.0,100.0,2.6,36.9,84.6,55,85,8.6,8,101,9.0,1.0,38.0,50.0,0.0,181.0,PIT,12.0,17,23,4,0,75,0,0,92,0,3,500.0,500
CRAIG REYNOLDS,1.6,0.3,0.0,3.1,2.7,0.1,11.9,0.3,24.6,96.4,84.0,104.0,9.8,9.0,124.0,2.0,29.6,102.7,89,104,10.2,9,134,5.0,0.0,47.0,41.0,1.0,179.0,DET,5.0,14,11,18,0,79,7,0,79,7,3,500.0,500
DAIJUN EDWARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.4,109.0,136.0,14.0,10.0,148.0,0.0,0.0,118.6,109,128,7.3,10,127,0.0,0.0,0.0,0.0,0.0,0.0,PIT,0.0,17,23,4,0,0,0,0,0,0,0,500.0,500
DALVIN COOK,1.7,1.0,0.0,5.2,4.5,0.0,14.3,1.3,25.2,87.6,71.0,97.0,9.1,8.0,106.0,2.7,40.2,92.5,73,99,11.2,8,114,15.0,0.0,78.0,67.0,0.0,214.0,FA,20.0,33,33,33,0,93,0,0,93,0,0,500.0,500
DAMEON PIERCE,5.0,0.9,0.0,7.2,10.4,0.1,29.7,1.2,69.7,57.4,44.0,57.0,5.2,7.0,76.0,5.9,82.7,59.4,49,57,5.5,7,83,13.0,0.0,101.0,145.0,2.0,416.0,HOU,17.0,2,3,21,0,46,31,0,54,15,2,187.0,500
DANDRE SWIFT,10.0,2.4,0.1,13.4,14.3,0.3,65.6,3.1,160.3,25.2,21.0,25.0,2.6,4.0,32.0,12.5,199.3,23.6,18,23,3.2,4,31,39.0,1.0,214.0,229.0,5.0,1049.0,CHI,49.0,18,21,12,6,19,56,6,19,50,1,62.5,61
DARE OGUNBOWALE,0.8,0.2,0.0,1.8,0.8,0.0,3.5,0.7,8.3,135.8,132.0,142.0,3.3,10.0,141.0,1.0,10.3,134.2,126,141,5.0,10,140,2.0,0.0,18.0,8.0,0.0,35.0,HOU,7.0,2,3,21,0,100,0,0,100,0,4,500.0,500
DARRELL HENDERSON,8.4,2.5,0.0,25.8,11.5,0.5,28.0,3.5,33.5,148.0,127.0,164.0,21.0,11.0,169.0,10.9,43.5,146.0,125,166,21.0,11,167,10.0,0.0,103.0,46.0,2.0,112.0,FA,14.0,33,33,33,0,25,75,0,25,75,0,500.0,500
DARRYNTON EVANS,3.8,1.2,0.0,8.2,5.3,0.2,20.2,2.0,23.0,139.3,119.0,156.0,14.8,11.0,154.0,5.0,30.0,140.0,116,156,17.1,11,154,7.0,0.0,49.0,32.0,1.0,121.0,BUF,12.0,12,7,24,0,67,17,0,67,17,4,500.0,500
DAVID MONTGOMERY,13.7,1.1,0.0,8.4,15.6,0.9,72.5,1.7,191.2,17.2,9.0,17.0,2.2,3.0,22.0,14.8,207.2,22.3,16,21,3.2,4,32,16.0,0.0,117.0,219.0,13.0,1015.0,DET,24.0,14,11,18,15,8,92,8,8,85,2,69.5,63
DEEJAY DALLAS,0.1,0.4,0.0,1.5,0.6,0.0,2.1,0.5,2.2,124.4,106.0,132.0,11.3,10.0,141.0,0.5,8.2,118.0,113,127,5.0,10,124,6.0,0.0,26.0,10.0,0.0,36.0,ARI,9.0,25,26,13,0,100,0,0,100,0,5,500.0,500
DENERIC PRINCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.4,75.0,109.0,11.5,9.0,113.0,0.0,0.0,84.0,60,109,17.6,9,113,0.0,0.0,0.0,0.0,0.0,0.0,KC,0.0,3,6,11,0,0,0,0,0,0,4,500.0,500
DERNEST JOHNSON,1.5,0.6,0.0,8.2,2.4,0.0,6.4,0.7,24.8,83.1,69.0,82.0,4.9,8.0,94.0,2.0,34.8,84.1,69,84,5.3,8,95,10.0,0.0,140.0,41.0,0.0,108.0,JAC,12.0,30,27,26,0,88,0,0,88,0,2,500.0,500
DERRICK HENRY,12.9,1.6,0.0,12.6,16.5,0.7,68.6,2.1,218.7,6.7,3.0,7.0,1.6,2.0,13.0,14.5,246.7,11.3,5,12,2.9,3,17,28.0,0.0,214.0,280.0,12.0,1167.0,BAL,36.0,20,14,25,25,19,63,13,31,63,1,23.5,16
DEUCE VAUGHN,1.1,1.0,0.0,5.7,3.3,0.0,5.7,1.0,8.0,80.3,69.0,77.0,6.8,8.0,107.0,2.1,15.0,78.0,68,76,7.0,8,110,7.0,0.0,40.0,23.0,0.0,40.0,DAL,7.0,5,4,23,0,100,0,0,86,0,4,500.0,500
DEVIN SINGLETARY,8.1,1.8,0.0,11.4,12.7,0.2,52.8,2.2,137.3,31.4,24.0,30.0,3.0,5.0,40.0,9.8,167.3,31.8,21,32,3.6,5,42,30.0,0.0,193.0,216.0,4.0,898.0,NYG,38.0,13,1,32,6,31,31,6,31,38,1,90.5,114
DEVON ACHANE,14.9,2.5,0.3,17.9,9.4,0.7,72.7,3.4,163.7,11.8,5.0,11.0,3.2,3.0,22.0,17.3,190.7,10.7,4,10,3.3,3,19,27.0,3.0,197.0,103.0,8.0,800.0,MIA,37.0,6,5,19,50,30,50,40,30,60,1,20.5,30
DEWAYNE MCBRIDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.5,128.0,158.0,17.0,11.0,176.0,0.0,0.0,153.8,128,158,17.5,11,177,0.0,0.0,0.0,0.0,0.0,0.0,MIN,0.0,26,16,30,0,0,0,0,0,0,4,500.0,500
