,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
HUNTER HENRY,5.6,3.0,0.4,29.9,0.0,0.0,0.0,4.4,77.9,17.9,13.0,18.0,2.7,4.0,25.0,8.6,119.9,18.0,13,18,2.5,4,25,42.0,6.0,419.0,0.0,0.0,0.0,NE,61.0,14,20,12,7,57,36,14,57,36,1,172.0,500,0,0.0,0,0.0,0,0.0,6,16.7,4,30.8
HUNTER LONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8,72.0,103.0,21.1,9.0,129.0,0.0,0.0,106.2,73,101,20.2,9,129,0.0,0.0,0.0,0.0,0.0,0.0,LAR,0.0,22,14,27,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
IAN THOMAS,0.5,0.4,0.0,4.7,0.0,0.0,0.0,0.8,5.6,95.6,55.0,91.0,25.2,9.0,123.0,0.9,10.6,89.2,55,91,20.6,9,110,5.0,0.0,56.0,0.0,0.0,0.0,CAR,9.0,4,8,1,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,1,2.8,1,4.5
IRV SMITH,1.3,1.5,0.1,9.6,0.0,0.0,0.0,2.2,15.5,66.2,50.0,68.0,9.0,7.0,79.0,2.8,33.5,65.8,48,68,8.7,7,77,18.0,1.0,115.0,0.0,0.0,0.0,KC,26.0,5,2,23,0,92,8,0,92,8,3,500.0,500,0,0.0,0,0.0,0,0.0,5,6.8,4,10.8
ISAIAH LIKELY,4.2,1.8,0.3,24.2,0.0,0.0,0.0,2.4,71.1,23.4,15.0,22.0,4.2,4.0,36.0,5.9,101.1,25.3,16,24,4.4,4,38,30.0,5.0,411.0,0.0,0.0,0.0,BAL,40.0,6,12,10,19,75,19,6,63,19,2,185.0,500,0,0.0,0,0.0,0,0.0,7,10.9,3,9.7
JACK STOLL,0.2,0.3,0.0,2.2,0.0,0.0,0.0,0.5,3.8,78.5,53.0,90.0,14.8,9.0,89.0,0.5,8.8,75.5,52,92,13.7,9,86,5.0,0.0,38.0,0.0,0.0,0.0,NYG,8.0,25,31,3,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,2,4.1,0,0.0
JACK WESTOVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,98.0,126.0,6.0,10.0,110.0,0.0,0.0,97.0,97,124,0.0,10,97,0.0,0.0,0.0,0.0,0.0,0.0,SEA,0.0,27,29,18,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JAHEIM BELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3,47.0,58.0,14.9,7.0,103.0,0.0,0.0,57.7,47,57,13.6,7,102,0.0,0.0,0.0,0.0,0.0,0.0,NE,0.0,14,20,12,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JAKE FERGUSON,6.2,4.2,0.3,44.8,0.0,0.0,0.0,6.0,106.1,8.8,6.0,8.0,1.6,2.0,15.0,10.4,177.1,9.0,5,9,1.5,2,13,71.0,5.0,761.0,0.0,0.0,0.0,DAL,102.0,29,28,21,13,38,44,13,38,44,1,88.5,85,0,0.0,0,0.0,0,0.0,23,22.1,12,23.5
JAMES MITCHELL,0.2,0.1,0.0,2.0,0.0,0.0,0.0,0.1,2.8,112.8,84.0,106.0,21.2,9.0,144.0,0.3,4.8,110.4,86,107,18.6,9,140,2.0,0.0,28.0,0.0,0.0,0.0,DET,2.0,9,11,14,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
