PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
RASHEEN ALI,RB,364.0,0.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.2,342.0,3.1,0.0,0.0,362.5,0.6,337.0,3.1,498.0,25.5,16.0,388.0,0.0,0.0,0.0,476.0,10.0,0.0,31.0,14.4,BAL,16.0,382.0,31,31,25,4,500.0,500
RASHID SHAHEED,WR,133.1,10.0,0.0,0.0,3.3,0.5,58.2,1.0,0.0,4.8,88.0,59.8,0.0,0.0,134.5,13.3,93.0,79.8,131.0,15.4,9.0,194.0,20.0,3.0,349.0,131.0,6.0,0.0,29.0,15.4,NO,9.0,177.0,5,3,23,2,144.0,124
RASHOD BATEMAN,WR,141.6,7.6,0.0,0.0,2.6,0.5,44.5,0.0,0.0,0.0,101.0,129.6,0.0,0.0,149.3,10.3,120.0,174.6,143.0,15.8,9.0,194.0,45.0,9.0,756.0,141.0,0.0,0.0,0.0,16.2,BAL,9.0,179.0,21,22,12,2,168.5,190
RAY RAY MCCLOUD,WR,283.9,4.6,0.0,0.0,3.6,0.1,40.4,0.6,0.0,4.6,198.0,78.5,0.0,0.0,267.5,8.3,173.0,140.5,326.0,47.8,13.0,348.0,62.0,1.0,686.0,336.0,10.0,0.0,79.0,47.1,ATL,13.0,373.0,2,1,17,3,500.0,500
RHAMONDRE STEVENSON,RB,104.6,9.5,0.0,0.0,2.2,0.1,11.2,13.8,0.5,53.4,77.0,142.9,0.0,0.0,115.9,11.7,77.0,175.9,113.0,21.5,8.0,218.0,33.0,1.0,168.0,104.0,207.0,7.0,801.0,18.8,NE,8.0,151.0,11,10,8,2,107.0,106
RICKY PEARSALL,WR,98.7,5.7,0.0,0.0,2.8,0.3,36.4,0.3,0.0,4.1,59.0,62.5,0.0,0.0,102.5,8.5,60.0,93.5,102.0,18.5,8.0,162.0,31.0,3.0,400.0,98.0,3.0,0.0,45.0,19.7,SF,8.0,169.0,19,16,18,3,101.0,111
RICO DOWDLE,RB,148.4,9.9,0.0,0.0,2.4,0.2,15.6,14.7,0.1,67.4,85.0,158.8,0.0,0.0,156.3,12.4,98.0,197.8,150.0,24.5,10.0,247.0,39.0,3.0,249.0,143.0,235.0,2.0,1079.0,23.6,CAR,9.0,236.0,23,24,18,2,140.5,500
RJ HARVEY,RB,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,72.6,0.0,51.0,0.0,70.0,27.6,7.0,283.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,25.9,DEN,6.0,270.0,30,29,27,1,54.5,77
ROBERT WOODS,WR,333.1,1.3,0.0,0.0,1.4,0.0,14.5,0.0,0.0,0.0,238.0,18.3,0.0,0.0,320.1,2.7,204.0,38.3,378.0,58.9,14.0,395.0,20.0,0.0,203.0,384.0,0.0,0.0,0.0,50.8,PIT,14.0,396.0,14,11,21,3,500.0,500
ROMAN WILSON,WR,258.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,254.5,0.0,162.0,0.0,247.0,28.1,12.0,302.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,29.1,PIT,12.0,306.0,14,11,21,4,500.0,500
