PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP,AVG_TGT,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,TGT,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_SACK,AVG_YDS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,SACK,YDS,AVG_BLK KICK,AVG_DEF TD,AVG_FUMR,AVG_INT,AVG_PTS VS.,AVG_RET TD,AVG_SAFE,BLK KICK,DEF TD,FUMR,INT,PTS VS.,RET TD,SAFE,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_XPA,AVG_XPM,XPA,XPM
QUENTIN JOHNSTON,WR,162.5,8.0,0.0,0.0,3.7,0.5,47.4,0.2,0.0,0.4,114.0,119.7,0.0,0.0,164.0,11.6,120.0,174.7,163.0,24.0,10.0,261.0,55.0,8.0,711.0,162.0,3.0,0.0,6.0,23.2,LAC,10.0,261.0,15,12,13,3.0,184.5,196,6.1,61.8,45.0,62.0,7.2,7.0,91.0,64.2,50.0,65.0,7.2,7.0,93.0,91.0,7.0,43.0,43.0,0.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,2.0,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUINSHON JUDKINS,RB,101.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,117.1,0.0,57.0,0.0,122.0,34.6,9.0,250.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,32.8,CLE,8.0,232.0,27,18,31,2.0,78.5,138,0.0,36.9,21.0,36.0,9.8,5.0,69.0,38.9,20.0,40.0,9.6,5.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACHAAD WHITE,RB,126.0,9.3,0.0,0.0,3.2,0.4,24.6,9.0,0.2,38.3,87.0,148.6,0.0,0.0,121.9,12.5,85.0,199.6,124.0,17.6,9.0,161.0,51.0,6.0,393.0,125.0,144.0,3.0,613.0,16.6,TB,9.0,167.0,12,16,4,2.0,123.5,136,3.6,43.4,33.0,43.0,5.2,6.0,58.0,39.1,30.0,41.0,4.8,5.0,49.0,57.0,13.0,27.0,53.0,13.0,13.0,53.0,20.0,26.0,13.0,30.2,4.0,20.0,10.0,13.0,6.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAHEEM MOSTERT,RB,243.2,4.0,0.0,0.0,1.5,0.0,12.4,6.5,0.2,21.4,156.0,51.9,0.0,0.0,251.7,5.5,147.0,70.9,249.0,36.6,12.0,326.0,19.0,0.0,161.0,238.0,85.0,2.0,278.0,38.5,LV,12.0,317.0,29,32,11,2.0,500.0,500,1.8,73.4,54.0,69.0,9.0,7.0,95.0,72.5,50.0,68.0,8.7,7.0,95.0,23.0,0.0,67.0,17.0,0.0,67.0,17.0,14.0,20.3,10.0,25.6,4.0,22.2,2.0,2.4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAHEIM SANDERS,RB,307.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,315.5,0.0,262.0,0.0,330.0,16.1,13.0,357.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,13.8,LAC,13.0,353.0,22,23,20,0.0,500.0,500,0.0,94.8,79.0,99.0,11.9,8.0,167.0,96.5,74.0,100.0,12.0,8.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASHEE RICE,WR,64.2,10.2,0.0,0.0,6.0,0.5,72.0,0.3,0.0,0.3,32.0,40.9,0.0,0.0,52.2,16.2,25.0,64.9,49.0,18.6,6.0,90.0,24.0,2.0,288.0,62.0,1.0,0.0,1.0,20.6,KC,6.0,109.0,12,10,15,1.0,47.0,58,7.3,28.7,15.0,29.0,7.7,4.0,44.0,25.8,14.0,24.0,7.7,4.0,41.0,29.0,0.0,25.0,75.0,25.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1,1.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASHEEN ALI,RB,364.0,0.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.2,342.0,3.1,0.0,0.0,362.5,0.6,337.0,3.1,498.0,25.5,16.0,388.0,0.0,0.0,0.0,476.0,10.0,0.0,31.0,14.4,BAL,16.0,382.0,31,31,25,4.0,500.0,500,0.4,122.0,108.0,129.0,11.2,10.0,141.0,126.3,112.0,132.0,9.8,10.0,143.0,2.0,0.0,100.0,0.0,0.0,100.0,0.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASHID SHAHEED,WR,133.1,10.0,0.0,0.0,3.3,0.5,58.2,1.0,0.0,4.8,88.0,59.8,0.0,0.0,134.5,13.3,93.0,79.8,131.0,15.4,9.0,194.0,20.0,3.0,349.0,131.0,6.0,0.0,29.0,15.4,NO,9.0,177.0,5,3,23,2.0,144.0,124,6.8,52.5,37.0,53.0,5.2,6.0,67.0,54.9,42.0,53.0,4.5,6.0,70.0,41.0,0.0,17.0,50.0,0.0,17.0,67.0,3.0,4.8,0.0,0.0,0.0,0.0,2.0,5.1,2.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASHOD BATEMAN,WR,141.6,7.6,0.0,0.0,2.6,0.5,44.5,0.0,0.0,0.0,101.0,129.6,0.0,0.0,149.3,10.3,120.0,174.6,143.0,15.8,9.0,194.0,45.0,9.0,756.0,141.0,0.0,0.0,0.0,16.2,BAL,9.0,179.0,21,22,12,2.0,168.5,190,4.2,55.1,42.0,55.0,5.0,6.0,68.0,59.6,50.0,57.0,4.6,6.0,72.0,72.0,13.0,44.0,31.0,0.0,44.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.1,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAY RAY MCCLOUD,WR,283.9,4.6,0.0,0.0,3.6,0.1,40.4,0.6,0.0,4.6,198.0,78.5,0.0,0.0,267.5,8.3,173.0,140.5,326.0,47.8,13.0,348.0,62.0,1.0,686.0,336.0,10.0,0.0,79.0,47.1,ATL,13.0,373.0,2,1,17,3.0,500.0,500,5.1,103.1,71.0,115.0,16.7,9.0,131.0,98.3,67.0,115.0,16.1,9.0,126.0,87.0,0.0,50.0,0.0,0.0,50.0,6.0,1.0,1.1,0.0,0.0,0.0,0.0,5.0,8.8,1.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
