,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
TYSON BAGENT,-0.1,0.5,0.5,0.0,100%,0.0,1.5,0.0,-1.8,0.0,2.8,-0.3,2.0,2.0,0.0,100%,0.0,60.5,38,61,9.6,7,72,6.0,0.0,-7.0,0.0,CHI,11.0,18,17,28,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HENDON HOOKER,0.9,3.0,2.0,0.0,67%,0.0,1.7,0.0,0.7,0.3,20.7,2.7,9.0,6.0,0.0,67%,0.0,61.4,53,62,5.3,7,71,5.0,0.0,2.0,1.0,DET,62.0,24,19,30,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DESHAUN WATSON,11.4,30.9,19.6,0.4,63%,0.7,4.4,0.1,21.1,4.7,164.0,79.7,216.0,137.0,3.0,63%,5.0,58.7,37,63,15.2,7,87,31.0,1.0,148.0,33.0,CLE,1148.0,15,15,15,0,71,0,0,71,0,0,500.0,500.0,5,10.4,2,6.3,1,7.1,0,0.0,0,0.0
TAYLOR HEINICKE,0.8,1.3,0.8,0.0,60%,0.0,0.5,0.0,5.0,0.8,7.0,3.1,5.0,3.0,0.0,60%,0.0,63.6,51,64,8.0,7,74,2.0,0.0,20.0,3.0,LAC,28.0,8,6,14,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JARRETT STIDHAM,0.2,0.0,0.0,0.0,NaN%,0.0,1.3,0.0,1.7,0.0,0.0,0.5,0.0,0.0,0.0,NaN%,0.0,60.4,53,65,6.9,7,75,4.0,0.0,5.0,0.0,DEN,0.0,7,8,8,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NICK MULLENS,0.3,0.5,0.5,0.0,100%,0.0,0.8,0.0,-0.5,0.0,9.5,1.3,2.0,2.0,0.0,100%,0.0,58.0,40,66,9.2,7,77,3.0,0.0,-2.0,0.0,JAC,38.0,29,30,17,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DAVIS MILLS,2.4,9.0,5.0,0.0,56%,0.0,0.8,0.0,2.8,0.5,53.0,9.6,36.0,20.0,0.0,56%,0.0,58.9,44,67,8.5,7,76,3.0,0.0,11.0,2.0,HOU,212.0,17,14,21,0,100,0,0,100,0,2,500.0,500.0,3,3.6,1,2.6,0,0.0,0,0.0,0,0.0
KYLE TRASK,-0.1,0.3,0.3,0.0,100%,0.0,1.3,0.0,-1.0,0.0,1.3,-0.2,1.0,1.0,0.0,100%,0.0,64.5,49,68,8.1,7,78,5.0,0.0,-4.0,0.0,TB,5.0,3,10,2,0,100,0,0,100,0,2,500.0,500.0,3,3.9,0,0.0,0,0.0,0,0.0,0,0.0
TANNER MCKEE,14.4,22.5,15.0,0.0,67%,2.0,2.5,0.0,-0.5,1.0,161.5,28.8,45.0,30.0,0.0,67%,4.0,55.3,48,69,5.8,7,64,5.0,0.0,-1.0,2.0,PHI,323.0,1,2,10,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TREY LANCE,3.4,10.3,6.3,0.3,61%,0.0,2.8,0.0,10.3,1.0,66.5,13.7,41.0,25.0,1.0,61%,0.0,64.0,45,70,11.6,8,81,11.0,0.0,41.0,4.0,LAC,266.0,8,6,14,0,100,0,0,100,0,3,500.0,500.0,2,3.7,1,3.8,1,8.3,0,0.0,0,0.0
JAKE HAENER,1.8,4.9,2.3,0.1,46%,0.1,1.4,0.0,2.8,0.8,28.3,14.2,39.0,18.0,1.0,46%,1.0,66.6,39,71,16.1,8,94,11.0,0.0,22.0,6.0,NO,226.0,2,1,18,0,100,0,0,100,0,3,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DREW LOCK,12.2,25.9,15.3,0.7,59%,0.9,2.6,0.3,19.0,1.7,153.0,85.1,181.0,107.0,5.0,59%,6.0,63.4,48,72,6.7,8,69,18.0,2.0,133.0,12.0,SEA,1071.0,28,23,31,17,50,17,17,50,17,2,500.0,500.0,2,3.6,2,6.1,0,0.0,0,0.0,0,0.0
RILEY LEONARD,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,72.3,67,73,3.8,8,79,0.0,0.0,0.0,0.0,IND,0.0,26,28,11,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DORIAN THOMPSON-ROBINSON,3.6,19.7,10.2,1.0,52%,0.0,3.5,0.0,20.3,1.3,73.3,21.8,118.0,61.0,6.0,52%,0.0,78.9,66,74,8.5,8,95,21.0,0.0,122.0,8.0,PHI,440.0,1,2,10,0,100,0,0,100,0,0,500.0,500.0,2,4.2,1,3.1,0,0.0,0,0.0,0,0.0
BRANDON ALLEN,2.8,10.0,5.7,0.7,57%,0.3,1.0,0.0,1.3,0.7,66.3,8.4,30.0,17.0,2.0,57%,1.0,70.8,66,75,5.7,8,81,3.0,0.0,4.0,2.0,TEN,199.0,20,27,3,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CASE KEENUM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,74.8,63,76,9.8,8,92,0.0,0.0,0.0,0.0,CHI,0.0,18,17,28,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TOMMY MELLOTT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,60.3,39,77,19.4,8,86,0.0,0.0,0.0,0.0,LV,0.0,9,12,4,0,0,0,0,0,0,5,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
KYLE ALLEN,0.8,1.0,1.0,0.0,100%,0.0,0.0,0.0,0.0,0.0,19.0,0.8,1.0,1.0,0.0,100%,0.0,76.6,70,78,4.2,8,82,0.0,0.0,0.0,0.0,DET,19.0,24,19,30,0,100,0,0,100,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TEDDY BRIDGEWATER,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,71.0,69,79,2.1,8,74,0.0,0.0,0.0,0.0,TB,0.0,3,10,2,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CLAYTON TUNE,-0.4,0.3,0.3,0.0,100%,0.0,1.2,0.0,-0.7,0.0,1.3,-2.1,2.0,2.0,0.0,100%,0.0,78.0,68,80,5.9,8,85,7.0,0.0,-4.0,0.0,ARI,8.0,30,31,12,0,100,0,0,100,0,0,500.0,500.0,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0
BAILEY ZAPPE,9.0,31.0,16.0,2.0,52%,1.0,2.0,0.0,2.0,1.0,170.0,9.0,31.0,16.0,2.0,52%,1.0,78.8,69,81,6.9,8,90,2.0,0.0,2.0,1.0,KC,170.0,11,3,26,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
KYLE MCCORD,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,79.8,74,82,6.8,8,93,0.0,0.0,0.0,0.0,PHI,0.0,1,2,10,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CAM MILLER,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,72.7,68,83,3.3,8,75,0.0,0.0,0.0,0.0,LV,0.0,9,12,4,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
STETSON BENNETT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,77.0,56,84,19.0,8,102,0.0,0.0,0.0,0.0,LAR,0.0,32,32,27,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TOMMY DEVITO,4.5,14.7,10.3,0.0,70%,0.0,2.7,0.0,10.7,2.0,85.7,13.5,44.0,31.0,0.0,70%,0.0,80.0,72,85,11.3,9,96,8.0,0.0,32.0,6.0,NYG,257.0,5,5,9,0,100,0,0,100,0,0,500.0,500.0,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0
GRAHAM MERTZ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,75.5,75,86,0.5,9,76,0.0,0.0,0.0,0.0,HOU,0.0,17,14,21,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EASTON STICK,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,84.3,57,87,19.5,9,101,0.0,0.0,0.0,0.0,ATL,0.0,12,13,6,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JOHN WOLFORD,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,78.5,69,88,9.5,9,88,0.0,0.0,0.0,0.0,JAC,0.0,29,30,17,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TREVOR SIEMIAN,0.0,0.0,0.0,0.0,NaN%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN%,0.0,78.5,76,89,2.5,9,81,0.0,0.0,0.0,0.0,TEN,0.0,20,27,3,0,100,0,0,100,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MIKE WHITE,1.1,11.0,3.0,0.0,27%,0.0,0.0,0.0,0.0,0.0,28.0,1.1,11.0,3.0,0.0,27%,0.0,79.5,76,90,3.5,9,83,0.0,0.0,0.0,0.0,BUF,28.0,23,24,24,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JOSH JOHNSON,0.2,0.8,0.5,0.0,67%,0.0,1.0,0.0,0.3,0.3,4.3,0.8,3.0,2.0,0.0,67%,0.0,80.0,73,91,7.0,9,87,4.0,0.0,1.0,1.0,WAS,17.0,4,9,5,0,100,0,0,100,0,3,500.0,500.0,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0
SAM EHLINGER,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,83.0,77,92,6.0,9,89,0.0,0.0,0.0,0.0,DEN,0.0,7,8,8,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DEVIN LEARY,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,83.5,70,93,13.5,9,97,0.0,0.0,0.0,0.0,BAL,0.0,13,7,20,0,0,0,0,0,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SKYLAR THOMPSON,4.0,16.5,10.5,0.0,64%,0.0,0.5,0.0,2.0,3.0,93.5,7.9,33.0,21.0,0.0,64%,0.0,89.5,88,94,1.5,9,91,1.0,0.0,4.0,6.0,PIT,187.0,6,4,13,0,100,0,0,100,0,0,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
