PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER
Cairo Santos,0,4,7,6,4,0.0,0.3,0.4,0.4,0.3,6.5,2.0,1.7,104,22.9,11.0,21.0,3.6,4.0,31.0,CHI,32,27,4,9,7,0,0,0
Ka'imi Fairbairn,0,7,7,9,6,0.0,0.4,0.4,0.5,0.4,7.8,1.4,1.4,132,24.6,15.0,22.0,3.5,4.0,32.0,HOU,24,24,19,4,29,0,0,0
Cameron Dicker,0,7,7,7,0,0.0,0.6,0.6,0.6,0.0,8.5,2.2,2.2,94,22.2,7.0,23.0,7.5,4.0,39.0,LAC,24,24,9,7,14,0,0,0
Cade York,0,5,9,6,4,0.0,0.3,0.5,0.4,0.2,7.1,2.2,2.1,121,23.1,14.0,24.0,4.2,4.0,32.0,CLE,37,35,10,14,5,0,0,0
Brett Maher,0,9,5,6,9,0.0,0.5,0.3,0.4,0.5,9.5,3.1,2.9,161,21.3,3.0,25.0,6.6,4.0,33.0,DEN,53,50,16,16,20,0,0,0
Dustin Hopkins,0,2,6,1,0,0.0,0.4,1.2,0.2,0.0,8.0,2.4,2.4,40,22.5,7.0,26.0,7.4,4.0,35.0,LAC,12,12,9,7,14,0,0,0
Eddy Pineiro,0,2,16,13,2,0.0,0.1,0.9,0.8,0.1,8.6,1.9,1.8,146,24.5,11.0,27.0,5.0,4.0,36.0,CAR,32,30,11,8,22,0,0,0
Joey Slye,1,8,4,8,4,0.1,0.5,0.2,0.5,0.2,6.8,1.6,1.4,115,27.2,19.0,28.0,4.1,5.0,38.0,WAS,28,24,7,12,9,0,0,0
Michael Badgley,0,6,7,9,2,0.0,0.5,0.5,0.7,0.2,9.1,2.5,2.5,118,27.2,16.0,29.0,4.7,5.0,40.0,TEN,33,33,15,26,6,0,0,0
Brandon Aubrey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.2,9.0,30.0,6.8,5.0,34.0,DAL,0,0,31,23,28,0,0,0
Anders Carlson,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.8,20.0,31.0,3.6,5.0,37.0,GB,0,0,1,1,24,0,0,0
Chase McLaughlin,0,7,5,9,9,0.0,0.4,0.3,0.6,0.6,8.6,1.3,1.3,138,28.6,19.0,32.0,3.8,5.0,41.0,TB,21,21,30,30,21,0,0,0
Tanner Brown,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.5,19.0,33.0,4.3,5.0,41.0,LAR,0,0,27,25,23,0,0,0
Chad Ryland,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.6,11.0,34.0,7.8,5.0,40.0,NE,0,0,13,20,12,0,0,0
Rodrigo Blankenship,0,2,0,1,1,0.0,0.7,0.0,0.3,0.3,6.3,1.7,1.3,19,29.4,10.0,35.0,7.2,5.0,40.0,FA,5,4,33,33,33,0,0,0
Robbie Gould,0,13,5,7,2,0.0,0.8,0.3,0.4,0.1,8.4,3.0,2.9,142,29.3,18.0,36.0,6.8,5.0,40.0,FA,51,50,33,33,33,0,0,0
Caleb Shudak,0,1,2,0,0,0.0,1.0,2.0,0.0,0.0,10.0,1.0,1.0,10,32.0,22.0,37.0,4.1,6.0,40.0,FA,1,1,33,33,33,0,0,0
Ryan Succop,0,10,7,12,2,0.0,0.6,0.4,0.7,0.1,7.8,1.5,1.4,133,31.3,19.0,38.0,7.2,6.0,45.0,FA,25,24,33,33,33,0,0,0
Tristan Vizcaino,0,0,1,1,0,0.0,0.0,0.3,0.3,0.0,3.3,1.0,1.0,10,33.0,26.0,39.0,5.1,6.0,43.0,FA,3,3,33,33,33,0,0,0
Mason Crosby,0,10,8,6,1,0.0,0.6,0.5,0.4,0.1,7.1,2.3,2.2,120,32.7,14.0,40.0,7.4,6.0,42.0,FA,39,37,33,33,33,0,0,0
Elliott Fry,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36.0,30.0,41.0,4.0,6.0,43.0,FA,0,0,33,33,33,0,0,0
Tyler Davis,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.2,15.0,42.0,8.1,6.0,39.0,FA,0,0,33,33,33,0,100,0
Randy Bullock,0,5,5,6,1,0.0,0.3,0.3,0.4,0.1,5.4,1.8,1.8,87,37.5,28.0,43.0,6.8,6.0,51.0,FA,28,28,33,33,33,0,0,0
Zane Gonzalez,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36.4,34.0,44.0,1.8,6.0,39.0,SF,0,0,2,3,2,0,0,0
Parker Romo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36.0,32.0,45.0,4.2,6.0,44.0,DET,0,0,3,31,1,0,0,0
Blake Grupe,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39.3,28.0,46.0,9.4,6.0,54.0,NO,0,0,18,29,3,0,0,0
Matthew Wright,0,1,6,6,2,0.0,0.2,1.0,1.0,0.3,11.7,2.5,2.5,70,37.3,37.0,47.0,0.5,6.0,38.0,FA,15,15,33,33,33,0,0,0
B.T. Potter,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41.5,36.0,48.0,5.5,6.0,47.0,FA,0,0,33,33,33,0,0,0
James McCourt,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.5,36.0,49.0,6.5,6.0,49.0,JAC,0,0,32,22,32,0,0,0
