PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH
D'Andre Swift,RB,39.0,11.1,0.0,0.0,3.5,0.2,27.5,8.8,0.6,40.1,9.0,143.8,0.0,0.0,33.9,14.6,8.0,189.8,32.0,11.8,3.0,89.0,46.0,2.0,357.0,38.0,114.0,8.0,521.0,13.1,DET,5.0,120.0,29,29,21,1
D'Onta Foreman,RB,343.7,2.7,0.0,0.0,0.2,0.2,0.8,3.7,0.0,15.8,276.0,16.0,0.0,0.0,360.0,2.8,292.0,17.0,505.0,70.8,13.0,461.0,1.0,1.0,5.0,479.0,22.0,0.0,95.0,48.6,FA,16.0,388.0,33,33,33,0
D'Wayne Eskridge,WR,283.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,280.3,0.0,173.0,0.0,300.0,43.1,10.0,364.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,50.3,SEA,13.0,381.0,30,28,26,3
D.J. Chark Jr.,WR,70.4,7.7,0.0,0.0,4.1,0.4,54.3,0.0,0.0,0.0,43.0,100.6,0.0,0.0,94.2,11.8,45.0,153.6,88.0,29.3,6.0,309.0,53.0,5.0,706.0,65.0,0.0,0.0,0.0,11.0,JAC,6.0,113.0,4,8,3,0
D.J. Moore,WR,41.0,9.7,0.0,0.0,4.4,0.3,79.5,0.1,0.0,1.5,25.0,145.5,0.0,0.0,41.1,14.1,29.0,211.5,40.0,8.9,4.0,86.0,66.0,4.0,1193.0,41.0,2.0,0.0,22.0,6.1,CAR,5.0,95.0,5,7,7,1
D.K. Metcalf,WR,20.0,11.8,0.0,0.0,5.2,0.6,81.4,0.0,0.0,0.0,10.0,188.3,0.0,0.0,20.0,17.0,12.0,271.3,19.0,5.6,3.0,36.0,83.0,10.0,1303.0,18.0,0.0,0.0,0.0,3.8,SEA,3.0,30.0,30,28,26,0
Dak Prescott,QB,57.4,27.7,1.8,371.2,0.0,0.0,0.0,3.6,0.6,18.6,19.0,138.64,9.0,1856.0,62.3,27.9,38.0,139.64,60.0,9.9,5.0,95.0,0.0,0.0,0.0,57.0,18.0,3.0,93.0,9.2,DAL,6.0,91.0,21,11,26,1
Dallas Cowboys,DEF,300.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,76.0,0.0,0.0,300.1,4.8,211.0,76.0,280.0,23.6,10.0,341.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,23.3,DAL,13.0,340.0,4,11,6,0
Dallas Goedert,TE,83.5,6.4,0.0,0.0,4.2,0.3,47.6,0.0,0.0,0.0,52.0,70.4,0.0,0.0,98.3,10.6,53.0,116.4,95.0,20.4,6.0,173.0,46.0,3.0,524.0,80.0,0.0,0.0,0.0,18.7,PHI,7.0,163.0,11,3,31,1
Dalton Schultz,TE,284.2,5.2,0.0,0.0,3.9,0.3,38.4,0.0,0.0,0.0,108.0,83.5,0.0,0.0,271.0,9.2,127.0,146.5,298.0,37.5,10.0,359.0,63.0,4.0,615.0,325.0,0.0,0.0,0.0,46.3,DAL,13.0,365.0,16,6,24,2
Dalvin Cook,RB,2.2,21.0,0.0,0.0,3.1,0.1,25.8,22.3,1.1,111.2,1.0,293.8,0.0,0.0,2.5,24.1,1.0,337.8,2.0,0.7,1.0,6.0,44.0,1.0,361.0,2.0,312.0,16.0,1557.0,0.6,MIN,1.0,5.0,12,6,28,1
Damien Harris,RB,76.0,8.6,0.0,0.0,0.5,0.0,5.2,13.7,0.2,69.1,27.0,86.3,0.0,0.0,70.2,9.1,42.0,91.3,67.0,16.2,5.0,130.0,5.0,0.0,52.0,68.0,137.0,2.0,691.0,14.2,NE,7.0,121.0,22,4,31,1
Damien Williams,RB,235.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,196.3,0.0,123.0,0.0,195.0,42.9,9.0,335.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,43.1,CHI,11.0,362.0,8,13,7,3
Damiere Byrd,WR,340.3,4.2,0.0,0.0,2.9,0.1,37.8,0.1,0.0,0.9,295.0,67.9,0.0,0.0,338.1,7.2,226.0,114.9,420.0,49.6,12.0,400.0,47.0,1.0,604.0,460.0,2.0,0.0,15.0,29.3,CHI,15.0,369.0,12,19,9,3
Dan Arnold,TE,246.8,4.1,0.0,0.0,1.9,0.3,27.4,0.0,0.0,0.0,121.0,65.8,0.0,0.0,241.7,6.0,135.0,96.8,244.0,43.1,10.0,343.0,31.0,4.0,438.0,252.0,0.0,0.0,0.0,38.8,CAR,12.0,362.0,5,19,1,1
Dan Bailey,K,290.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,90.0,0.0,0.0,298.6,5.6,233.0,90.0,389.0,26.6,12.0,353.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,25.3,FA,14.0,326.0,33,33,33,0
Daniel Carlson,K,264.6,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,155.0,0.0,0.0,259.0,9.7,181.0,155.0,239.0,24.6,9.0,308.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,24.3,LV,12.0,330.0,13,18,14,0
Daniel Jones,QB,153.0,13.6,0.8,210.2,0.0,0.0,0.0,4.6,0.1,30.2,85.0,190.02,11.0,2943.0,177.4,13.6,95.0,190.02,162.0,38.7,8.0,320.0,0.0,0.0,0.0,142.0,65.0,1.0,423.0,28.3,NYG,9.0,275.0,14,16,11,1
Danny Amendola,WR,324.5,4.3,0.0,0.0,3.3,0.0,43.0,0.1,0.0,0.1,268.0,60.4,0.0,0.0,334.4,7.6,270.0,106.4,430.0,35.6,13.0,420.0,46.0,0.0,602.0,381.0,1.0,0.0,2.0,28.3,FA,14.0,390.0,33,33,33,0
