PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_TGT,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_TIERS,REC,REC_TDS,REC_TGT,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
Michael Thomas,6.3,5.7,0.0,7.9,62.6,0.1,0.0,0.1,43.9,41.4,4.0,42.0,16.4,6.0,83.0,12.0,83.9,49.1,8.0,48.0,12.7,6.0,79.0,38.0,5.0,40.0,0.0,55.0,438.0,1.0,0.0,1.0,NO,6,11,5,0.0,0.0,0.0,2
Mike Evans,11.2,4.4,0.8,6.8,62.9,0.0,0.0,0.0,178.6,11.9,7.0,11.0,3.0,3.0,23.0,15.5,248.6,17.7,10.0,16.0,3.4,3.0,30.0,17.0,3.0,70.0,13.0,109.0,1006.0,0.0,0.0,0.0,TB,19,15,21,18.8,31.3,56.3,1
Mike Strachan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.5,150.0,204.0,16.5,12.0,183.0,0.0,0.0,158.3,117.0,173.0,35.8,11.0,255.0,203.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,9,2,31,0.0,0.0,0.0,7
Mike Thomas,1.2,0.9,0.1,1.5,9.4,0.1,0.0,0.1,17.3,173.3,132.0,191.0,43.3,12.0,246.0,2.2,30.3,177.6,136.0,181.0,38.8,11.0,270.0,204.0,12.0,13.0,1.0,21.0,132.0,1.0,0.0,1.0,CIN,24,20,22,0.0,0.0,0.0,6
Mike Williams,7.0,3.2,0.3,5.7,50.4,0.1,0.0,0.1,105.7,42.4,25.0,40.0,7.1,6.0,66.0,10.2,153.7,45.8,30.0,44.0,7.1,6.0,69.0,47.0,6.0,48.0,5.0,85.0,756.0,1.0,0.0,1.0,LAC,28,24,23,6.7,53.3,26.7,2
Miles Boykin,3.2,1.2,0.3,2.1,16.6,0.0,0.0,0.0,50.6,114.1,87.0,110.0,12.6,9.0,155.0,4.3,69.6,117.9,98.0,115.0,11.6,9.0,151.0,110.0,9.0,19.0,4.0,33.0,266.0,0.0,0.0,0.0,BAL,15,18,16,0.0,0.0,0.0,6
Mohamed Sanu,2.7,1.7,0.1,2.4,18.7,0.1,0.0,0.3,27.0,137.3,100.0,161.0,16.4,11.0,153.0,4.4,44.0,123.6,94.0,144.0,14.6,10.0,143.0,162.0,11.0,17.0,1.0,24.0,187.0,1.0,0.0,3.0,SF,1,9,2,0.0,0.0,0.0,4
N'Keal Harry,2.9,2.4,0.1,4.1,22.1,0.1,0.0,0.0,40.9,100.0,79.0,101.0,12.8,8.0,136.0,5.3,73.9,105.2,83.0,105.0,11.8,9.0,137.0,100.0,8.0,33.0,2.0,57.0,309.0,2.0,0.0,0.0,NE,2,1,30,0.0,0.0,0.0,4
Nelson Agholor,8.6,3.0,0.5,5.1,56.0,0.0,0.0,0.0,137.6,58.8,40.0,58.0,8.3,7.0,87.0,11.6,185.6,62.6,43.0,61.0,9.3,7.0,100.0,61.0,7.0,48.0,8.0,82.0,896.0,0.0,0.0,0.0,NE,2,1,30,6.3,50.0,37.5,1
Nick Westbrook-Ikhine,0.4,0.2,0.0,0.6,2.4,0.0,0.0,0.0,5.3,163.3,123.0,188.0,37.6,12.0,211.0,0.6,8.3,204.6,145.0,205.0,53.3,12.0,316.0,199.0,12.0,3.0,0.0,8.0,33.0,0.0,0.0,0.0,TEN,25,27,20,0.0,0.0,0.0,0
Nico Collins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,62.0,100.0,15.6,8.0,142.0,0.0,0.0,89.4,58.0,89.0,14.3,8.0,128.0,99.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,10,14,13,0.0,0.0,0.0,4
Noah Brown,1.0,0.9,0.0,1.5,9.6,0.1,0.0,0.3,15.8,167.3,153.0,195.0,18.9,12.0,194.0,1.9,29.8,168.5,135.0,172.0,43.7,11.0,309.0,192.0,12.0,14.0,0.0,24.0,154.0,1.0,0.0,4.0,DAL,27,21,27,0.0,0.0,0.0,5
Odell Beckham Jr.,9.1,3.3,0.4,6.1,45.6,0.4,0.1,10.3,63.82,25.6,15.0,25.0,5.9,4.0,55.0,12.4,86.82,29.3,19.0,27.0,5.7,5.0,47.0,27.0,5.0,23.0,3.0,43.0,319.0,3.0,1.0,72.0,CLE,32,31,24,0.0,0.0,0.0,0
Olamide Zaccheaus,3.0,1.8,0.1,2.9,24.9,0.1,0.0,0.0,33.4,101.2,65.0,116.0,19.9,9.0,154.0,4.9,53.4,101.3,73.0,114.0,17.0,9.0,156.0,115.0,9.0,20.0,1.0,32.0,274.0,1.0,0.0,0.0,ATL,8,12,10,0.0,0.0,0.0,5
Parris Campbell,4.3,3.0,0.0,4.5,35.5,1.0,0.0,8.0,8.7,67.9,35.0,67.0,9.2,7.0,103.0,7.3,14.7,70.1,45.0,67.0,9.8,7.0,107.0,66.0,7.0,6.0,0.0,9.0,71.0,2.0,0.0,16.0,IND,9,2,31,0.0,0.0,0.0,3
Penny Hart,0.2,0.1,0.0,0.1,0.2,0.1,0.0,1.5,2.2,189.3,167.0,199.0,18.4,12.0,214.0,0.2,3.2,210.6,159.0,228.0,39.9,13.0,272.0,196.0,12.0,1.0,0.0,1.0,3.0,1.0,0.0,19.0,SEA,30,28,26,0.0,0.0,0.0,7
Phillip Dorsett II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.8,146.0,187.0,26.6,12.0,222.0,0.0,0.0,161.2,118.0,184.0,25.8,11.0,199.0,185.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,4,8,3,0.0,0.0,0.0,0
Preston Williams,7.1,2.3,0.5,4.4,36.0,0.0,0.0,0.0,56.8,92.0,56.0,94.0,16.1,8.0,143.0,9.3,74.8,102.5,72.0,101.0,19.3,9.0,195.0,94.0,8.0,18.0,4.0,35.0,288.0,0.0,0.0,0.0,MIA,20,4,29,0.0,0.0,0.0,4
Quez Watkins,2.8,1.2,0.2,2.2,17.7,0.0,0.0,0.0,16.6,145.9,132.0,165.0,10.9,11.0,169.0,3.9,23.6,95.3,63.0,117.0,19.8,9.0,144.0,163.0,11.0,7.0,1.0,13.0,106.0,0.0,0.0,0.0,PHI,17,3,32,0.0,0.0,0.0,6
