,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
FOSTER MOREAU,1.7,1.4,0.1,12.9,0.0,0.0,0.0,1.7,25.3,55.1,41.0,60.0,10.5,7.0,79.0,3.1,46.3,56.6,40,60,10.8,7,81,21.0,1.0,193.0,0.0,0.0,0.0,NO,25.0,13,22,5,0,92,8,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,4,6.2,3,9.1
GEOFF SWAIM,0.7,0.7,0.0,6.7,0.0,0.0,0.0,0.8,9.4,102.3,92.0,129.0,10.1,10.0,116.0,1.4,19.4,99.3,93,127,4.5,10,103,10.0,0.0,94.0,0.0,0.0,0.0,FA,11.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,2,3.4,0,0.0
GEORGE KITTLE,8.6,4.1,0.4,63.8,0.1,0.0,0.1,5.6,138.2,5.2,3.0,5.0,1.2,2.0,9.0,12.7,203.2,7.8,3,8,1.4,2,10,65.0,6.0,1020.0,1.0,0.0,2.0,SF,90.0,12,7,22,31,38,56,31,44,56,1,64.5,51,0,0.0,0,0.0,0,0.0,12,17.1,4,15.4
GERALD EVERETT,4.0,3.4,0.2,27.4,0.2,0.0,0.7,4.7,60.1,35.1,24.0,34.0,4.6,5.0,54.0,7.4,111.1,33.9,23,34,5.1,5,56,51.0,3.0,411.0,3.0,0.0,10.0,CHI,70.0,20,19,16,0,64,21,0,43,29,2,500.0,500,0,0.0,0,0.0,0,0.0,10,13.7,7,15.9
GIOVANNI RICCI,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.2,0.2,126.8,98.0,137.0,23.0,10.0,155.0,0.2,1.2,120.6,89,126,24.3,10,150,1.0,0.0,2.0,0.0,0.0,0.0,FA,1.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GRANT CALCATERRA,0.3,0.3,0.0,2.8,0.0,0.0,0.0,0.3,3.9,104.2,75.0,95.0,21.8,9.0,137.0,0.6,7.9,101.6,74,97,20.6,9,130,4.0,0.0,39.0,0.0,0.0,0.0,PHI,4.0,31,30,24,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0
GREG DULCICH,1.3,1.5,0.0,12.5,0.0,0.0,0.0,2.0,2.5,31.7,18.0,35.0,5.4,5.0,44.0,2.8,5.5,31.6,18,35,5.9,5,52,3.0,0.0,25.0,0.0,0.0,0.0,DEN,4.0,30,25,30,0,100,0,0,100,0,1,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HARRISON BRYANT,1.5,0.8,0.2,4.8,0.3,0.0,0.5,1.2,24.9,79.4,60.0,81.0,14.7,8.0,110.0,2.2,37.9,75.5,58,78,14.0,8,107,13.0,3.0,81.0,5.0,0.0,8.0,LV,20.0,10,18,9,0,88,13,0,88,6,3,500.0,500,0,0.0,0,0.0,0,0.0,5,7.8,3,10.3
HAYDEN HURST,2.4,1.8,0.1,18.4,0.0,0.0,0.0,3.2,24.4,37.3,24.0,40.0,5.8,5.0,56.0,4.2,42.4,36.8,25,40,5.9,5,56,18.0,1.0,184.0,0.0,0.0,0.0,LAC,32.0,24,26,13,0,80,10,0,90,10,2,500.0,500,0,0.0,0,0.0,0,0.0,3,8.3,3,13.6
HUNTER HENRY,5.6,3.0,0.4,29.9,0.0,0.0,0.0,4.4,77.9,18.4,13.0,19.0,2.8,4.0,28.0,8.6,119.9,18.5,13,19,2.7,4,29,42.0,6.0,419.0,0.0,0.0,0.0,NE,61.0,14,20,12,7,57,36,14,57,36,1,183.5,500,0,0.0,0,0.0,0,0.0,6,16.7,4,30.8
HUNTER LONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.8,82.0,98.0,16.6,9.0,133.0,0.0,0.0,108.1,82,99,16.6,9,134,0.0,0.0,0.0,0.0,0.0,0.0,LAR,0.0,22,14,27,0,100,0,0,100,0,4,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
IAN THOMAS,0.5,0.4,0.0,4.7,0.0,0.0,0.0,0.8,5.6,79.2,58.0,84.0,17.0,8.0,115.0,0.9,10.6,75.4,56,84,15.5,8,107,5.0,0.0,56.0,0.0,0.0,0.0,CAR,9.0,4,8,1,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,1,2.8,1,4.5
IRV SMITH,1.3,1.5,0.1,9.6,0.0,0.0,0.0,2.2,15.5,73.7,48.0,75.0,19.0,8.0,106.0,2.8,33.5,72.8,46,72,18.8,7,103,18.0,1.0,115.0,0.0,0.0,0.0,FA,26.0,33,33,33,0,92,8,0,92,8,0,500.0,500,0,0.0,0,0.0,0,0.0,5,6.8,4,10.8
ISAIAH LIKELY,4.2,1.8,0.3,24.2,0.0,0.0,0.0,2.4,71.1,23.9,15.0,24.0,4.3,4.0,38.0,5.9,101.1,25.7,16,25,4.3,4,40,30.0,5.0,411.0,0.0,0.0,0.0,BAL,40.0,6,12,10,19,75,19,6,63,19,2,187.5,500,0,0.0,0,0.0,0,0.0,7,10.9,3,9.7
JACK STOLL,0.2,0.3,0.0,2.2,0.0,0.0,0.0,0.5,3.8,93.8,83.0,107.0,14.4,9.0,122.0,0.5,8.8,93.2,82,109,14.2,9,120,5.0,0.0,38.0,0.0,0.0,0.0,FA,8.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,2,4.1,0,0.0
JACK WESTOVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.3,102.0,128.0,17.3,10.0,144.0,0.0,0.0,109.8,97,125,17.6,10,140,0.0,0.0,0.0,0.0,0.0,0.0,SEA,0.0,27,29,18,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JACOB HARRIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,141.0,164.0,0.8,11.0,143.0,0.0,0.0,143.0,143,165,0.0,11,143,0.0,0.0,0.0,0.0,0.0,0.0,PHI,0.0,31,30,24,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JAHEIM BELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6,45.0,61.0,19.9,7.0,108.0,0.0,0.0,61.3,45,59,18.6,7,111,0.0,0.0,0.0,0.0,0.0,0.0,NE,0.0,14,20,12,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JAKE FERGUSON,6.2,4.2,0.3,44.8,0.0,0.0,0.0,6.0,106.1,8.9,5.0,8.0,1.6,2.0,13.0,10.4,177.1,9.1,4,9,1.5,2,12,71.0,5.0,761.0,0.0,0.0,0.0,DAL,102.0,29,28,21,13,38,44,13,38,44,1,88.0,80,0,0.0,0,0.0,0,0.0,23,22.1,12,23.5
JAMES MITCHELL,0.2,0.1,0.0,2.0,0.0,0.0,0.0,0.1,2.8,111.0,85.0,101.0,14.5,9.0,140.0,0.3,4.8,108.4,87,102,13.7,9,134,2.0,0.0,28.0,0.0,0.0,0.0,DET,2.0,9,11,14,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JARED WILEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.7,40.0,65.0,17.4,7.0,106.0,0.0,0.0,66.4,41,65,16.0,7,105,0.0,0.0,0.0,0.0,0.0,0.0,KC,0.0,5,2,23,0,0,0,0,0,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JATAVION SANDERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,24.0,32.0,5.1,5.0,67.0,0.0,0.0,34.2,26,31,5.1,5,67,0.0,0.0,0.0,0.0,0.0,0.0,CAR,0.0,4,8,1,0,0,0,0,0,0,1,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JELANI WOODS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,27.0,39.0,10.6,5.0,74.0,0.0,0.0,39.1,28,39,10.8,5,81,0.0,0.0,0.0,0.0,0.0,0.0,IND,0.0,21,24,7,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JEREMY RUCKERT,1.0,1.1,0.0,10.1,0.0,0.0,0.0,1.5,15.1,50.1,40.0,48.0,4.3,6.0,58.0,2.1,31.1,49.8,40,48,4.4,6,57,16.0,0.0,151.0,0.0,0.0,0.0,NYJ,22.0,28,21,31,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JESPER HORSTED,0.1,0.2,0.0,0.8,0.0,0.0,0.0,0.2,0.4,117.2,110.0,121.0,5.5,10.0,125.0,0.3,1.4,110.2,104,118,8.8,9,127,1.0,0.0,4.0,0.0,0.0,0.0,FA,1.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JIMMY GRAHAM,2.1,0.5,0.3,3.0,0.0,0.0,0.0,0.5,27.9,115.0,106.0,144.0,10.7,10.0,130.0,2.6,33.9,113.0,107,143,7.8,10,124,6.0,4.0,39.0,0.0,0.0,0.0,FA,7.0,33,33,33,0,60,40,0,80,0,0,500.0,500,0,0.0,0,0.0,0,0.0,5,7.7,4,12.1
JOE FORTSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,52.0,112.0,24.8,9.0,120.0,0.0,0.0,90.0,53,113,23.7,9,119,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JOHN BATES,0.9,1.1,0.0,8.9,0.0,0.0,0.0,1.6,15.1,81.6,57.0,86.0,11.8,8.0,109.0,2.0,34.1,75.1,54,82,8.5,8,92,19.0,0.0,151.0,0.0,0.0,0.0,WAS,28.0,16,15,20,0,94,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,3,4.7,3,8.6
JOHN FITZPATRICK,0.2,0.1,0.0,1.7,0.0,0.0,0.0,0.1,1.2,105.4,81.0,114.0,27.4,9.0,157.0,0.3,2.2,108.0,84,117,27.0,9,157,1.0,0.0,12.0,0.0,0.0,0.0,ATL,1.0,15,13,19,0,100,0,0,100,0,4,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JOHN MUNDT,1.4,1.0,0.1,10.1,0.0,0.0,0.0,1.4,23.2,48.0,38.0,56.0,8.1,7.0,71.0,2.4,40.2,46.1,35,54,6.8,7,68,17.0,1.0,172.0,0.0,0.0,0.0,MIN,23.0,3,3,6,0,92,8,0,92,8,3,500.0,500,0,0.0,0,0.0,0,0.0,4,5.1,3,6.4
JONNU SMITH,4.4,2.9,0.2,34.2,0.1,0.0,0.0,4.1,74.2,27.0,15.0,30.0,6.6,5.0,62.0,7.3,124.2,27.1,15,30,6.5,5,61,50.0,3.0,582.0,1.0,0.0,0.0,MIA,70.0,32,32,26,6,63,19,6,56,25,1,500.0,500,1,1.3,1,2.8,1,9.1,9,16.7,5,17.9
JORDAN AKINS,0.8,0.9,0.0,7.8,0.0,0.0,0.0,1.4,13.2,66.3,54.0,74.0,9.9,8.0,89.0,1.7,28.2,65.3,54,73,10.0,8,90,15.0,0.0,132.0,0.0,0.0,0.0,CLE,23.0,1,4,2,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JOSH OLIVER,1.8,1.3,0.1,12.5,0.0,0.0,0.0,1.6,31.3,50.2,37.0,50.0,6.8,6.0,63.0,3.1,53.3,50.1,36,49,6.3,6,62,22.0,2.0,213.0,0.0,0.0,0.0,MIN,28.0,3,3,6,0,88,13,0,88,6,2,500.0,500,0,0.0,0,0.0,0,0.0,5,6.3,3,6.4
JOSH WHYLE,1.4,0.8,0.1,8.5,0.0,0.0,0.0,1.4,15.4,52.1,36.0,59.0,11.8,7.0,81.0,2.2,24.4,52.8,38,61,12.9,7,83,9.0,1.0,94.0,0.0,0.0,0.0,TEN,15.0,2,5,4,0,89,11,0,89,11,2,500.0,500,0,0.0,0,0.0,0,0.0,5,10.6,2,8.7
JOSIAH DEGUARA,0.4,0.5,0.0,4.3,0.0,0.0,0.0,0.5,6.5,117.1,102.0,111.0,6.8,9.0,125.0,1.0,14.5,105.0,99,104,4.3,9,114,8.0,0.0,65.0,0.0,0.0,0.0,FA,8.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JULIAN HILL,0.2,0.4,0.0,3.2,0.0,0.0,0.0,0.6,2.8,98.9,72.0,99.0,11.5,9.0,111.0,0.6,8.8,104.6,83,103,10.1,9,115,6.0,0.0,48.0,0.0,0.0,0.0,MIA,9.0,32,32,26,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,1,1.5,1,2.3
JUWAN JOHNSON,4.7,2.8,0.3,28.3,0.0,0.0,0.0,4.5,60.8,23.4,14.0,22.0,4.2,4.0,40.0,7.5,97.8,24.5,14,24,4.3,4,40,37.0,4.0,368.0,0.0,0.0,0.0,NO,59.0,13,22,5,8,58,33,8,58,33,1,500.0,500,0,0.0,0,0.0,0,0.0,7,10.8,3,9.1
KENNY YEBOAH,0.6,0.4,0.0,5.6,0.0,0.0,0.0,0.8,2.8,113.9,98.0,108.0,10.9,9.0,131.0,1.0,4.8,109.4,97,106,9.8,9,124,2.0,0.0,28.0,0.0,0.0,0.0,NYJ,4.0,28,21,31,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
KEVIN RADER,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.2,0.6,141.0,128.0,167.0,13.0,11.0,154.0,0.1,1.6,133.5,111,164,22.5,11,156,1.0,0.0,6.0,0.0,0.0,0.0,NO,3.0,13,22,5,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,2.1,1,4.3
KO KIEFT,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.3,6.2,103.9,85.0,94.0,12.4,9.0,124.0,0.5,7.2,97.0,85,92,9.8,8,113,1.0,1.0,2.0,0.0,0.0,0.0,TB,5.0,18,17,17,0,92,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,2,3.4,1,3.4
