PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
JEROME FORD,RB,118.6,9.8,0.0,0.0,2.6,0.3,18.8,12.0,0.2,47.8,79.0,167.2,0.0,0.0,119.4,12.4,76.0,211.2,117.0,15.1,7.0,155.0,44.0,5.0,319.0,116.0,204.0,4.0,813.0,16.5,CLE,7.0,153.0,4,8,8,1,107.5,120
JERROD MEANS,WR,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,365.6,0.0,301.0,0.0,445.0,42.5,13.0,464.0,0.0,0.0,0.0,444.0,0.0,0.0,0.0,43.6,NO,14.0,470.0,15,21,10,5,500.0,500
JERRY JEUDY,WR,149.2,5.5,0.0,0.0,3.4,0.1,47.4,0.0,0.0,0.0,108.0,87.8,0.0,0.0,146.2,8.9,106.0,141.8,143.0,16.9,8.0,186.0,54.0,2.0,758.0,147.0,0.0,0.0,0.0,16.1,CLE,8.0,187.0,26,18,30,2,138.5,134
JHAQUAN JACKSON,WR,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,467.0,0.0,292.0,0.0,543.0,175.0,15.0,642.0,0.0,0.0,0.0,529.0,0.0,0.0,0.0,160.0,TEN,15.0,636.0,28,29,19,0,500.0,500
JIMMY GAROPPOLO,QB,436.0,10.4,1.0,172.1,0.0,0.0,0.0,2.9,0.0,5.6,353.0,73.1,7.0,1205.0,438.0,10.4,353.0,73.1,516.0,126.4,14.0,689.0,0.0,0.0,0.0,521.0,20.0,0.0,39.0,127.5,LAR,14.0,689.0,20,17,15,2,500.0,500
JK DOBBINS,RB,147.2,9.7,0.0,0.0,2.0,0.0,15.0,8.0,1.0,22.0,95.0,9.7,0.0,0.0,152.2,11.7,102.0,11.7,150.0,26.0,8.0,277.0,2.0,0.0,15.0,146.0,8.0,1.0,22.0,26.2,LAC,8.0,272.0,21,22,10,2,120.5,130
JOE BURROW,QB,59.3,15.3,1.5,230.9,0.0,0.0,0.0,3.1,0.0,8.8,46.0,153.2,15.0,2309.0,60.4,15.3,46.0,153.2,61.0,10.5,5.0,124.0,0.0,0.0,0.0,58.0,31.0,0.0,88.0,8.4,CIN,5.0,92.0,30,32,26,1,67.0,53
JOE FLACCO,QB,340.7,21.8,2.6,323.2,0.0,0.0,0.0,1.8,0.0,0.4,257.0,108.8,13.0,1616.0,337.9,21.8,243.0,108.8,346.0,62.9,12.0,698.0,0.0,0.0,0.0,353.0,9.0,0.0,2.0,60.8,IND,12.0,698.0,26,27,16,2,500.0,500
JOE MILTON,QB,465.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,462.0,0.0,316.0,0.0,528.0,174.3,14.0,707.0,0.0,0.0,0.0,519.0,0.0,0.0,0.0,171.6,NE,14.0,707.0,24,14,30,3,500.0,500
JOE MIXON,RB,45.8,12.6,0.0,0.0,3.1,0.2,22.1,15.1,0.5,60.8,15.0,215.0,0.0,0.0,52.3,15.7,35.0,267.0,53.0,7.6,5.0,77.0,52.0,3.0,376.0,44.0,257.0,9.0,1034.0,8.3,HOU,4.0,69.0,2,3,21,1,41.5,27
