,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
BRANDON POWELL,2.2,1.7,0.1,19.1,0.3,0.0,1.0,2.6,38.1,128.5,108.0,137.0,10.7,10.0,150.0,3.9,67.1,124.5,104,137,11.4,10,150,29.0,1.0,324.0,5.0,0.0,17.0,MIN,44.0,10,24,3,0,69,0,0,63,0,4,500.0,500,0,0.0,0,0.0,0,0.0,6,7.6,4,8.5
BRAXTON BERRIOS,1.9,1.7,0.1,14.9,0.1,0.0,0.7,2.1,30.9,148.6,111.0,154.0,19.0,10.0,193.0,3.6,57.9,143.7,107,152,18.3,10,191,27.0,1.0,238.0,1.0,0.0,11.0,MIA,33.0,29,12,32,0,87,7,0,93,7,3,500.0,500,0,0.0,0,0.0,0,0.0,1,1.5,0,0.0
BRENDEN RICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.5,82.0,106.0,12.0,8.0,169.0,0.0,0.0,107.0,83,106,12.2,8,168,0.0,0.0,0.0,0.0,0.0,0.0,LAC,0.0,30,25,25,0,0,0,0,0,0,6,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BRIAN THOMAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,32.0,47.0,6.1,6.0,66.0,0.0,0.0,46.4,33,47,7.8,6,92,0.0,0.0,0.0,0.0,0.0,0.0,JAC,0.0,32,31,21,0,0,0,0,0,0,2,111.5,127,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BRITAIN COVEY,0.3,0.3,0.0,2.6,0.0,0.0,0.0,0.4,4.2,221.4,195.0,205.0,17.3,12.0,244.0,0.5,8.2,215.1,178,200,18.4,12,237,4.0,0.0,42.0,0.0,0.0,0.0,PHI,6.0,6,11,7,0,100,0,0,100,0,6,500.0,500,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0
BRYAN THOMPSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.5,198.0,282.0,1.5,13.0,201.0,0.0,0.0,253.0,252,310,1.0,14,254,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BRYCE FORD-WHEATON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,148.0,287.0,55.0,13.0,258.0,0.0,0.0,192.5,127,279,65.5,13,258,0.0,0.0,0.0,0.0,0.0,0.0,NYG,0.0,4,23,1,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BYRON PRINGLE,0.9,0.9,0.0,10.1,0.0,0.0,0.0,1.4,14.1,205.0,182.0,199.0,23.2,11.0,262.0,1.8,28.1,206.3,182,203,24.3,12,262,14.0,0.0,161.0,0.0,0.0,0.0,WAS,22.0,13,4,28,0,93,0,0,93,0,6,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CALVIN AUSTIN,2.1,1.0,0.1,10.6,0.6,0.1,3.4,1.8,35.7,113.3,81.0,121.0,12.5,9.0,136.0,3.1,52.7,112.7,82,121,11.7,9,136,17.0,1.0,180.0,11.0,1.0,57.0,PIT,30.0,23,26,20,0,88,6,0,88,6,4,500.0,500,1,1.4,1,2.6,0,0.0,0,0.0,0,0.0
CALVIN RIDLEY,9.1,4.5,0.5,59.8,0.5,0.0,1.4,8.0,153.9,32.8,19.0,33.0,4.7,5.0,42.0,13.5,229.9,34.7,19,36,4.2,5,46,76.0,8.0,1016.0,9.0,0.0,23.0,TEN,136.0,28,29,19,13,50,38,13,31,31,2,79.5,60,1,1.5,0,0.0,0,0.0,26,41.3,13,43.3
